Experiment,V,Cr,Fe,Co,Ni,Cu,Mg,S,Se,P,blank,Volt,Time,Overpotential V at 10.0 mA/cm2,Overpotential V at 20.0 mA/cm2,Overpotential V at 30.0 mA/cm2,Overpotential V at 40.0 mA/cm2,Overpotential V at 50.0 mA cm-2
exp474,0,0,0,20,5,15,5,15,5,0,5,-1.3,90,-0.3167,-0.3597,-0.3897,-0.4147,-0.4367
exp397,0,0,0,15,5,5,0,10,0,15,20,-1.3,120,,,,,
exp589,0,5,0,20,0,0,25,0,0,20,20,-1.0,180,-0.3887,-0.4207,-0.4417,-0.4597,-0.4747
exp273,5,0,5,10,0,5,10,10,10,0,15,-1.5,120,-0.3477,-0.3917,-0.4227,-0.4487,-0.4727
exp79,10,0,5,0,5,5,5,35,0,5,0,-1.1,150,-0.4357,-0.5217,-0.5767,-0.6137,-0.6387
exp349,0,0,0,20,5,15,0,15,10,0,5,-1.5,120,-0.2547,-0.2927,-0.3167,-0.3357,-0.3517
exp487,25,0,0,5,0,0,15,5,15,0,5,-1.1,120,-0.6957,-0.7177,-0.7337,-0.7467,-0.7587
exp322,0,10,5,0,5,20,5,10,0,15,0,-1.5,150,-0.4017,-0.4627,-0.5037,-0.5357,-0.5607
exp287,0,5,10,10,0,0,20,5,5,10,5,-1.2,60,-0.3557,-0.3977,-0.4267,-0.4477,-0.4717
exp7,0,0,15,5,20,0,0,5,0,20,5,-1.1,90,-0.4047,-0.4387,-0.4627,-0.4847,-0.5057
exp210,0,10,10,5,0,20,0,10,5,10,0,-1.1,60,-0.4257,-0.4837,-0.5127,-0.5337,-0.5507
exp568,0,20,0,0,5,25,0,20,0,0,0,-1.5,180,-0.4057,-0.4597,-0.5007,-0.5337,-0.5607
exp96,0,0,0,10,0,0,10,15,20,15,0,-1.3,60,-0.7157,-0.7347,-0.7477,-0.7587,-0.7687
exp115,0,0,25,5,0,15,5,15,5,0,0,-1.1,90,-0.5227,-0.5717,-0.5977,-0.6177,-0.6367
exp2,0,5,10,10,0,0,5,15,10,0,15,-1.2,60,-0.7227,-0.7497,-0.7647,-0.7757,-0.7847
exp477,5,5,5,5,5,0,0,25,15,0,5,-1.2,120,-0.6517,-0.6877,-0.7087,-0.7247,-0.7387
exp183,20,0,5,0,5,0,10,20,0,0,10,-1.2,60,-0.5617,-0.6037,-0.6287,-0.6477,-0.6637
exp175,5,5,20,0,5,0,0,10,25,0,0,-1.3,120,-0.7287,-0.7687,-0.7867,-0.8007,-0.8107
exp382,5,5,0,20,0,0,5,0,15,10,10,-1.5,120,-0.3747,-0.4287,-0.4707,-0.5087,-0.5407
exp148,5,5,0,0,5,0,5,30,15,5,0,-1.3,60,-0.6967,-0.7197,-0.7347,-0.7487,-0.7617
exp85,0,5,0,10,0,15,5,10,15,5,5,-1.5,60,-0.5367,-0.5727,-0.5947,-0.6107,-0.6237
exp348,10,0,5,5,15,0,0,5,25,5,0,-1.1,60,-0.7787,-0.8057,-0.8237,-0.8377,-0.8507
exp169,0,0,0,0,30,15,0,0,5,20,0,-1.3,150,-0.1807,-0.2137,-0.2367,-0.2547,-0.2697
exp159,0,0,10,0,0,15,15,0,5,15,10,-1.3,90,-0.4657,-0.5107,-0.5387,-0.5587,-0.5757
exp254,5,0,10,0,15,0,0,0,0,25,15,-1.1,90,-0.5457,-0.5887,-0.6147,-0.6337,-0.6487
exp6,15,0,0,5,0,0,0,0,0,20,30,-1.2,60,-0.5497,-0.5817,-0.6027,-0.6197,-0.6337
exp262,5,5,0,10,0,0,10,20,10,5,5,-1.2,60,-0.7307,-0.7527,-0.7647,-0.7747,-0.7827
exp160,5,5,10,5,5,5,0,0,5,15,15,-1.3,60,-0.4207,-0.4577,-0.4827,-0.5057,-0.5267
exp58,0,0,5,10,0,25,5,0,20,0,5,-1.5,120,-0.6847,-0.7187,-0.7397,-0.7547,-0.7677
exp341,5,15,10,0,5,0,10,15,5,5,0,-1.3,120,-0.6767,-0.7107,-0.7327,-0.7497,-0.7657
exp293,15,5,0,0,0,5,0,10,5,30,0,-1.2,120,-0.7127,-0.7447,-0.7637,-0.7777,-0.7897
exp194,0,15,5,10,0,5,0,0,15,15,5,-1.2,120,-0.6637,-0.6927,-0.7097,-0.7227,-0.7337
exp563,8,0,8,8,8,8,8,15,0,0,7,-1.4,60,-0.3047,-0.3447,-0.3727,-0.3947,-0.4137
exp375,5,5,5,5,0,20,0,0,0,30,0,-1.4,60,-0.4767,-0.5137,-0.5417,-0.5647,-0.5847
exp518,0,0,0,8,0,0,8,0,0,15,39,-1.2,150,-0.1937,-0.2117,-0.2247,-0.2357,-0.2457
exp435,0,0,0,0,5,15,5,15,5,10,15,-1.2,90,-0.3807,-0.4677,-0.5387,-0.5897,-0.6247
exp499,0,10,20,5,0,0,10,15,5,5,0,-1.2,150,-0.5237,-0.5747,-0.6027,-0.6237,-0.6407
exp522,0,0,8,0,8,8,0,15,0,0,31,-1.1,180,-0.2987,-0.3447,-0.3777,-0.4037,-0.4267
exp13,0,0,5,0,0,10,5,35,10,5,0,-1.5,120,-0.6827,-0.7197,-0.7417,-0.7587,-0.7737
exp398,5,0,0,5,15,0,0,10,30,0,5,-1.4,150,,,,,
exp546,0,0,0,8,0,0,0,15,15,0,32,-1.1,180,-0.3217,-0.3637,-0.3907,-0.4117,-0.4297
exp233,5,15,0,10,0,15,0,0,10,10,5,-1.3,60,-0.5597,-0.5997,-0.6247,-0.6447,-0.6607
exp216,5,0,5,0,5,15,10,15,10,0,5,-1.5,60,-0.4987,-0.6047,-0.6507,-0.6777,-0.6977
exp75,0,15,5,0,0,0,5,10,5,5,25,-1.5,150,-0.7747,-0.7977,-0.8117,-0.8227,-0.8327
exp504,8,0,0,0,0,8,8,0,0,15,31,-1.4,60,-0.6387,-0.6977,-0.7327,-0.7567,-0.7757
exp239,5,5,10,0,5,5,20,15,5,0,0,-1.1,90,-0.5557,-0.6077,-0.6367,-0.6567,-0.6727
exp240,5,10,10,0,0,5,5,25,0,0,10,-1.4,150,-0.5497,-0.5947,-0.6237,-0.6457,-0.6677
exp359,20,5,5,5,0,0,10,20,0,0,5,-1.5,150,-0.5037,-0.5717,-0.6127,-0.6407,-0.6627
exp38,15,10,0,5,0,5,0,0,5,15,15,-1.2,60,-0.4997,-0.5347,-0.5577,-0.5757,-0.5907
exp286,0,10,5,0,15,0,5,5,15,0,15,-1.4,150,-0.5897,-0.6527,-0.6857,-0.7167,-0.7347
exp156,5,0,20,0,0,5,5,20,0,0,15,-1.4,120,-0.2837,-0.3497,-0.3767,-0.3987,-0.4157
exp212,0,25,0,10,0,0,0,0,10,25,0,-1.5,150,-0.2407,-0.2737,-0.2997,-0.3217,-0.3397
exp526,8,0,8,8,8,8,0,0,15,0,15,-1.1,60,-0.6047,-0.6487,-0.6737,-0.6917,-0.7067
exp149,15,15,0,0,5,5,0,10,10,0,10,-1.4,60,-0.4937,-0.5527,-0.5857,-0.6127,-0.6337
exp265,0,0,0,0,15,5,0,5,5,10,30,-1.1,120,-0.3997,-0.4527,-0.4867,-0.5127,-0.5377
exp215,5,0,0,0,10,0,10,5,15,0,25,-1.3,60,-0.6327,-0.6717,-0.6967,-0.7167,-0.7367
exp491,10,15,0,5,0,0,5,20,0,5,10,-1.2,90,-0.6267,-0.6537,-0.6727,-0.6877,-0.7017
exp388,10,0,0,0,0,5,5,0,20,15,15,-1.1,60,-0.7097,-0.7617,-0.7977,-0.8277,-0.8547
exp512,0,0,0,0,8,8,0,0,0,15,39,-1.1,90,-0.3177,-0.3417,-0.3567,-0.3707,-0.3817
exp204,5,5,0,15,0,0,5,0,35,5,0,-1.2,120,-0.1537,-0.2527,-0.3107,-0.3457,-0.3677
exp525,0,0,8,8,8,0,0,15,0,0,31,-1.2,90,-0.3397,-0.3747,-0.3987,-0.4187,-0.4367
exp354,5,5,0,5,10,15,5,10,5,5,5,-1.4,60,-0.3677,-0.4297,-0.4767,-0.5117,-0.5397
exp585,0,0,0,0,25,15,0,0,0,30,30,-1.0,180,,,,,
exp90,0,20,5,0,10,0,0,10,10,5,10,-1.5,90,-0.5897,-0.6517,-0.6837,-0.7057,-0.7227
exp290,5,5,5,10,0,0,0,0,20,5,20,-1.3,150,-0.6867,-0.7137,-0.7287,-0.7407,-0.7497
exp95,0,0,0,10,5,5,5,25,10,0,10,-1.2,90,-0.6757,-0.7007,-0.7167,-0.7297,-0.7417
exp489,0,0,20,10,5,5,0,0,10,20,0,-1.3,60,-0.3447,-0.3857,-0.4147,-0.4377,-0.4587
exp1,5,5,0,5,0,10,25,15,0,5,0,-1.2,90,-0.4867,-0.5347,-0.5597,-0.5777,-0.5917
exp511,8,0,0,0,0,0,0,0,15,0,47,-1.2,90,-0.8587,-0.8997,-0.9287,-0.9517,-0.9707
exp247,5,0,0,10,0,0,5,10,15,0,25,-1.1,60,-0.7147,-0.7307,-0.7417,-0.7487,-0.7577
exp528,0,0,8,0,8,0,0,0,15,0,39,-1.5,150,-0.6227,-0.6807,-0.7197,-0.7507,-0.7767
exp307,5,10,5,15,10,0,5,0,20,0,0,-1.5,90,,,,,
exp390,0,0,0,10,0,10,0,5,20,15,10,-1.3,120,-0.6607,-0.7017,-0.7307,-0.7557,-0.7777
exp27,0,0,20,5,0,0,5,5,10,20,5,-1.4,150,-0.3937,-0.4427,-0.4757,-0.5057,-0.5327
