Experiment,V,Cr,Fe,Co,Ni,Cu,Mg,S,Se,P,blank,Volt,Time,Overpotential V at 10.0 mA/cm2,Overpotential V at 20.0 mA/cm2,Overpotential V at 30.0 mA/cm2,Overpotential V at 40.0 mA/cm2,Overpotential V at 50.0 mA cm-2
exp77,0,5,5,15,10,10,0,5,5,10,5,-1.5,60,-0.3337,-0.3747,-0.4047,-0.4287,-0.4487
exp489,0,0,20,10,5,5,0,0,10,20,0,-1.3,60,-0.3447,-0.3857,-0.4147,-0.4377,-0.4587
exp8,0,5,5,5,10,5,5,35,0,0,0,-1.3,150,-0.2787,-0.3117,-0.3347,-0.3517,-0.3667
exp360,0,15,0,0,0,0,10,5,30,0,10,-1.5,60,-0.8157,-0.8357,-0.8487,-0.8617,-0.8727
exp391,0,0,5,5,5,10,0,15,5,0,25,-1.2,150,-0.3257,-0.3737,-0.4077,-0.4347,-0.4577
exp535,0,0,0,0,0,8,0,15,0,0,47,-1.4,150,-0.5767,-0.6047,-0.6277,-0.6467,-0.6627
exp15,20,0,0,0,10,0,0,10,0,15,15,-1.2,150,-0.6117,-0.6507,-0.6727,-0.6887,-0.7027
exp126,5,0,0,5,30,10,0,0,20,0,0,-1.3,120,-0.6217,-0.6677,-0.6947,-0.7137,-0.7277
exp172,5,10,5,5,25,0,0,0,20,0,0,-1.2,150,-0.6087,-0.6817,-0.7257,-0.7607,-0.7847
exp343,0,5,5,0,10,10,15,20,0,0,5,-1.1,150,-0.3497,-0.3977,-0.4307,-0.4557,-0.4777
exp370,0,5,0,0,0,30,5,20,5,5,0,-1.4,60,-0.5757,-0.6027,-0.6247,-0.6437,-0.6607
exp380,0,10,0,5,5,0,0,30,0,15,5,-1.5,60,-0.6697,-0.7017,-0.7217,-0.7377,-0.7507
exp458,5,5,15,0,0,0,10,15,5,10,5,-1.4,60,-0.7067,-0.7367,-0.7587,-0.7757,-0.7927
exp5,0,10,0,5,15,5,0,10,10,15,0,-1.3,120,-0.6137,-0.6627,-0.6927,-0.7157,-0.7347
exp112,0,0,0,0,10,5,20,30,0,0,5,-1.1,120,-0.3647,-0.4277,-0.4657,-0.4947,-0.5177
exp191,20,0,0,20,5,0,0,0,25,0,0,-1.5,90,-0.3637,-0.4077,-0.4377,-0.4617,-0.4827
exp369,15,0,0,0,5,5,0,45,0,0,0,-1.5,120,-0.4137,-0.4837,-0.5267,-0.5577,-0.5807
